Time;Action;Type;Martingale;Signal;Symbol;Volume;PriceAction;NewValue;Profit;Slippage;Value1;Value2;StopLoss;TakeProfit;Expiration;Comment;MagicID;Status;Ticket #
2022.01.01 00:00:00;Initial Deposit 1000.00 - leverage 1:2000;;;;;;;;;;;;;;;;;;
2022.01.03 02:30:00;Moving buy-stop;buy;;;EURUSD;0.01;1.13803;1.13790;;;;;0.00000;0.00000;;;;OK;2
2022.01.03 02:35:00;Moving buy-stop;buy;;;EURUSD;0.01;1.13790;1.13783;;;;;0.00000;0.00000;;;;OK;2
2022.01.03 02:40:03;Moving buy-stop;buy;;;EURUSD;0.01;1.13783;1.13763;;;;;0.00000;0.00000;;;;OK;2
2022.01.03 02:45:00;Moving buy-stop;buy;;;EURUSD;0.01;1.13763;1.13724;;;;;0.00000;0.00000;;;;OK;2
2022.01.03 03:40:00;Moving buy-stop;buy;;;EURUSD;0.01;1.13724;1.13710;;;;;0.00000;0.00000;;;;OK;2
2022.01.03 03:45:02;Moving buy-stop;buy;;;EURUSD;0.01;1.13710;1.13702;;;;;0.00000;0.00000;;;;OK;2
2022.01.03 03:50:02;Moving buy-stop;buy;;;EURUSD;0.01;1.13702;1.13684;;;;;0.00000;0.00000;;;;OK;2
2022.01.03 03:55:00;Moving buy-stop;buy;;;EURUSD;0.01;1.13684;1.13672;;;;;0.00000;0.00000;;;;OK;2
2022.01.03 04:15:02;Moving buy-stop;buy;;;EURUSD;0.01;1.13672;1.13647;;;;;0.00000;0.00000;;;;OK;2
2022.01.03 04:20:00;Moving buy-stop;buy;;;EURUSD;0.01;1.13647;1.13603;;;;;0.00000;0.00000;;;;OK;2
2022.01.03 04:25:01;Moving buy-stop;buy;;;EURUSD;0.01;1.13603;1.13602;;;;;0.00000;0.00000;;;;OK;2
2022.01.03 04:30:00;Moving buy-stop;buy;;;EURUSD;0.01;1.13602;1.13601;;;;;0.00000;0.00000;;;;OK;2
2022.01.03 04:35:03;Moving buy-stop;buy;;;EURUSD;0.01;1.13601;1.13591;;;;;0.00000;0.00000;;;;OK;2
2022.01.03 04:40:00;Moving buy-stop;buy;;;EURUSD;0.01;1.13591;1.13590;;;;;0.00000;0.00000;;;;OK;2
2022.01.03 04:45:01;Moving buy-stop;buy;;;EURUSD;0.01;1.13590;1.13589;;;;;0.00000;0.00000;;;;OK;2
2022.01.03 04:50:00;Moving buy-stop;buy;;;EURUSD;0.01;1.13589;1.13584;;;;;0.00000;0.00000;;;;OK;2
2022.01.03 04:55:00;Moving buy-stop;buy;;;EURUSD;0.01;1.13584;1.13583;;;;;0.00000;0.00000;;;;OK;2
2022.01.03 05:00:02;Moving buy-stop;buy;;;EURUSD;0.01;1.13583;1.13553;;;;;0.00000;0.00000;;;;OK;2
2022.01.03 05:05:00;Moving buy-stop;buy;;;EURUSD;0.01;1.13553;1.13539;;;;;0.00000;0.00000;;;;OK;2
2022.01.03 05:25:00;Moving buy-stop;buy;;;EURUSD;0.01;1.13539;1.13535;;;;;0.00000;0.00000;;;;OK;2
2022.01.03 05:30:00;Moving buy-stop;buy;;;EURUSD;0.01;1.13535;1.13532;;;;;0.00000;0.00000;;;;OK;2
2022.01.03 07:05:27;Moving buy-stop;buy;;;EURUSD;0.01;1.13538;1.13504;;;;;0.00000;0.00000;;;;OK;3
2022.01.03 07:20:52;Moving buy-stop;buy;;;EURUSD;0.01;1.13504;1.13493;;;;;0.00000;0.00000;;;;OK;3
2022.01.03 07:35:21;Moving buy-stop;buy;;;EURUSD;0.01;1.13493;1.13483;;;;;0.00000;0.00000;;;;OK;3
2022.01.03 07:40:00;Moving buy-stop;buy;;;EURUSD;0.01;1.13483;1.13469;;;;;0.00000;0.00000;;;;OK;3
2022.01.03 08:49:16;Modifying TP;buy;;;EURUSD;0.01;1.13471;1.13871;;;;;0.00000;1.13871;;;;OK;3
2022.01.03 11:10:00;Signal4 to close;buy;;Stochastic K;EURUSD;0.01;1.13477;;;50;1.13477;1.13494;;;;;;OK;3
2022.01.03 16:20:00;Moving buy-stop;buy;;;EURUSD;0.01;1.13591;1.13555;;;;;0.00000;0.00000;;;;OK;5
2022.01.03 16:25:00;Moving buy-stop;buy;;;EURUSD;0.01;1.13555;1.13483;;;;;0.00000;0.00000;;;;OK;5
2022.01.03 16:30:00;Moving buy-stop;buy;;;EURUSD;0.01;1.13483;1.13446;;;;;0.00000;0.00000;;;;OK;5
2022.01.03 16:35:00;Moving buy-stop;buy;;;EURUSD;0.01;1.13446;1.13398;;;;;0.00000;0.00000;;;;OK;5
2022.01.03 16:40:00;Moving buy-stop;buy;;;EURUSD;0.01;1.13398;1.13383;;;;;0.00000;0.00000;;;;OK;5
2022.01.03 16:50:00;Moving buy-stop;buy;;;EURUSD;0.01;1.13383;1.13368;;;;;0.00000;0.00000;;;;OK;5
2022.01.03 16:55:00;Moving buy-stop;buy;;;EURUSD;0.01;1.13368;1.13333;;;;;0.00000;0.00000;;;;OK;5
2022.01.03 17:00:00;Moving buy-stop;buy;;;EURUSD;0.01;1.13333;1.13269;;;;;0.00000;0.00000;;;;OK;5
2022.01.03 17:05:00;Moving buy-stop;buy;;;EURUSD;0.01;1.13269;1.13213;;;;;0.00000;0.00000;;;;OK;5
2022.01.03 17:10:00;Moving buy-stop;buy;;;EURUSD;0.01;1.13213;1.13178;;;;;0.00000;0.00000;;;;OK;5
2022.01.03 17:35:00;Moving buy-stop;buy;;;EURUSD;0.01;1.13178;1.13136;;;;;0.00000;0.00000;;;;OK;5
2022.01.03 17:40:00;Moving buy-stop;buy;;;EURUSD;0.01;1.13136;1.13078;;;;;0.00000;0.00000;;;;OK;5
2022.01.03 18:05:00;Moving buy-stop;buy;;;EURUSD;0.01;1.13078;1.13050;;;;;0.00000;0.00000;;;;OK;5
2022.01.03 18:35:00;Moving buy-stop;buy;;;EURUSD;0.01;1.13050;1.13031;;;;;0.00000;0.00000;;;;OK;5
2022.01.03 18:50:00;Moving buy-stop;buy;;;EURUSD;0.01;1.13031;1.13029;;;;;0.00000;0.00000;;;;OK;5
2022.01.03 18:55:04;Moving buy-stop;buy;;;EURUSD;0.01;1.13029;1.13006;;;;;0.00000;0.00000;;;;OK;5
2022.01.03 19:00:00;Moving buy-stop;buy;;;EURUSD;0.01;1.13006;1.12998;;;;;0.00000;0.00000;;;;OK;5
2022.01.03 19:05:00;Moving buy-stop;buy;;;EURUSD;0.01;1.12998;1.12991;;;;;0.00000;0.00000;;;;OK;5
2022.01.03 19:15:05;Moving buy-stop;buy;;;EURUSD;0.01;1.12991;1.12989;;;;;0.00000;0.00000;;;;OK;5
2022.01.03 19:20:00;Moving buy-stop;buy;;;EURUSD;0.01;1.12989;1.12967;;;;;0.00000;0.00000;;;;OK;5
2022.01.03 19:25:02;Moving buy-stop;buy;;;EURUSD;0.01;1.12967;1.12954;;;;;0.00000;0.00000;;;;OK;5
2022.01.03 19:35:00;Moving buy-stop;buy;;;EURUSD;0.01;1.12954;1.12932;;;;;0.00000;0.00000;;;;OK;5
2022.01.04 00:30:00;Moving buy-stop;buy;;;EURUSD;0.01;1.13057;1.13037;;;;;0.00000;0.00000;;;;OK;6
2022.01.04 05:30:02;Moving buy-stop;buy;;;EURUSD;0.01;1.13116;1.13094;;;;;0.00000;0.00000;;;;OK;7
2022.01.04 06:00:17;Moving buy-stop;buy;;;EURUSD;0.01;1.13094;1.13085;;;;;0.00000;0.00000;;;;OK;7
2022.01.04 06:05:05;Moving buy-stop;buy;;;EURUSD;0.01;1.13085;1.13083;;;;;0.00000;0.00000;;;;OK;7
2022.01.04 08:02:58;Modifying TP;buy;;;EURUSD;0.01;1.13083;1.13483;;;;;0.00000;1.13483;;;;OK;7
2022.01.04 08:58:28;Signal3 to open;buy;2;;EURUSD;0.01;1.12933;;;50;1.12915;1.12933;;;;CP #2;3040;OK;8
2022.01.04 08:58:29;Modifying TP;buy;;;EURUSD;0.01;1.12933;1.13408;;;;;0.00000;1.13408;;;;OK;8
2022.01.04 08:58:29;Modifying TP;buy;;;EURUSD;0.01;1.13083;1.13408;;;;;0.00000;1.13408;;;;OK;7
2022.01.04 10:15:03;Moving sell-stop;sell;;;EURUSD;0.01;1.12767;1.12784;;;;;0.00000;0.00000;;;;OK;9
2022.01.04 10:20:00;Moving sell-stop;sell;;;EURUSD;0.01;1.12784;1.12819;;;;;0.00000;0.00000;;;;OK;9
2022.01.04 10:25:00;Moving sell-stop;sell;;;EURUSD;0.01;1.12819;1.12821;;;;;0.00000;0.00000;;;;OK;9
2022.01.04 10:55:00;Moving sell-stop;sell;;;EURUSD;0.01;1.12821;1.12824;;;;;0.00000;0.00000;;;;OK;9
2022.01.04 11:25:00;Moving sell-stop;sell;;;EURUSD;0.01;1.12824;1.12863;;;;;0.00000;0.00000;;;;OK;9
2022.01.04 11:25:00;Signal4 to close;buy;;Stochastic K;EURUSD;0.01;1.13038;;;50;1.13038;1.13053;;;;;;OK;8
2022.01.04 11:25:00;Signal4 to close;buy;;Stochastic K;EURUSD;0.01;1.13038;;;50;1.13038;1.13053;;;;;;OK;7
2022.01.04 11:30:02;Moving sell-stop;sell;;;EURUSD;0.01;1.12863;1.12869;;;;;0.00000;0.00000;;;;OK;9
2022.01.04 11:35:00;Moving sell-stop;sell;;;EURUSD;0.01;1.12869;1.12923;;;;;0.00000;0.00000;;;;OK;9
2022.01.04 11:40:00;Moving sell-stop;sell;;;EURUSD;0.01;1.12923;1.12927;;;;;0.00000;0.00000;;;;OK;9
2022.01.04 13:00:36;Modifying TP;sell;;;EURUSD;0.01;1.12927;1.12527;;;;;0.00000;1.12527;;;;OK;9
2022.01.04 13:05:34;Signal4 to close;sell;;Stochastic K;EURUSD;0.01;1.12926;;;50;1.12907;1.12926;;;;;;OK;9
2022.01.04 17:25:01;Moving sell-stop;sell;;;EURUSD;0.01;1.12783;1.12837;;;;;0.00000;0.00000;;;;OK;13
2022.01.04 17:30:00;Moving sell-stop;sell;;;EURUSD;0.01;1.12837;1.12879;;;;;0.00000;0.00000;;;;OK;13
2022.01.04 17:35:00;Moving sell-stop;sell;;;EURUSD;0.01;1.12879;1.12942;;;;;0.00000;0.00000;;;;OK;13
2022.01.04 17:40:00;Moving sell-stop;sell;;;EURUSD;0.01;1.12942;1.13005;;;;;0.00000;0.00000;;;;OK;13
2022.01.04 17:45:00;Moving sell-stop;sell;;;EURUSD;0.01;1.13005;1.13032;;;;;0.00000;0.00000;;;;OK;13
2022.01.04 18:07:05;Modifying TP;sell;;;EURUSD;0.01;1.13032;1.12632;;;;;0.00000;1.12632;;;;OK;13
2022.01.04 18:35:00;Signal4 to close;sell;;Stochastic K;EURUSD;0.01;1.12936;;;50;1.12917;1.12936;;;;;;OK;13
2022.01.04 21:40:02;Moving sell-stop;sell;;;EURUSD;0.01;1.12779;1.12781;;;;;0.00000;0.00000;;;;OK;15
2022.01.05 03:35:00;Moving sell-stop;sell;;;EURUSD;0.01;1.12723;1.12728;;;;;0.00000;0.00000;;;;OK;16
2022.01.05 03:40:24;Moving sell-stop;sell;;;EURUSD;0.01;1.12728;1.12734;;;;;0.00000;0.00000;;;;OK;16
2022.01.05 03:55:05;Moving sell-stop;sell;;;EURUSD;0.01;1.12734;1.12748;;;;;0.00000;0.00000;;;;OK;16
2022.01.05 04:15:01;Moving sell-stop;sell;;;EURUSD;0.01;1.12748;1.12752;;;;;0.00000;0.00000;;;;OK;16
2022.01.05 04:25:01;Moving sell-stop;sell;;;EURUSD;0.01;1.12752;1.12754;;;;;0.00000;0.00000;;;;OK;16
2022.01.05 04:35:00;Moving sell-stop;sell;;;EURUSD;0.01;1.12754;1.12789;;;;;0.00000;0.00000;;;;OK;16
2022.01.05 04:55:00;Moving sell-stop;sell;;;EURUSD;0.01;1.12789;1.12812;;;;;0.00000;0.00000;;;;OK;16
2022.01.05 05:00:00;Moving sell-stop;sell;;;EURUSD;0.01;1.12812;1.12814;;;;;0.00000;0.00000;;;;OK;16
2022.01.05 05:30:00;Moving sell-stop;sell;;;EURUSD;0.01;1.12814;1.12818;;;;;0.00000;0.00000;;;;OK;16
2022.01.05 05:35:00;Moving sell-stop;sell;;;EURUSD;0.01;1.12818;1.12827;;;;;0.00000;0.00000;;;;OK;16
2022.01.05 05:40:00;Moving sell-stop;sell;;;EURUSD;0.01;1.12827;1.12831;;;;;0.00000;0.00000;;;;OK;16
2022.01.05 05:45:00;Moving sell-stop;sell;;;EURUSD;0.01;1.12831;1.12836;;;;;0.00000;0.00000;;;;OK;16
2022.01.05 05:55:10;Moving sell-stop;sell;;;EURUSD;0.01;1.12836;1.12837;;;;;0.00000;0.00000;;;;OK;16
2022.01.05 06:00:00;Moving sell-stop;sell;;;EURUSD;0.01;1.12837;1.12844;;;;;0.00000;0.00000;;;;OK;16
2022.01.05 08:40:00;Moving sell-stop;sell;;;EURUSD;0.01;1.12841;1.12856;;;;;0.00000;0.00000;;;;OK;17
2022.01.05 08:45:00;Moving sell-stop;sell;;;EURUSD;0.01;1.12856;1.12868;;;;;0.00000;0.00000;;;;OK;17
2022.01.05 08:50:03;Moving sell-stop;sell;;;EURUSD;0.01;1.12868;1.12869;;;;;0.00000;0.00000;;;;OK;17
2022.01.05 09:40:01;Moving sell-stop;sell;;;EURUSD;0.01;1.12869;1.12870;;;;;0.00000;0.00000;;;;OK;17
2022.01.05 09:50:01;Moving sell-stop;sell;;;EURUSD;0.01;1.12870;1.12873;;;;;0.00000;0.00000;;;;OK;17
2022.01.05 10:20:08;Moving sell-stop;sell;;;EURUSD;0.01;1.12873;1.12907;;;;;0.00000;0.00000;;;;OK;17
2022.01.05 10:25:00;Moving sell-stop;sell;;;EURUSD;0.01;1.12907;1.12933;;;;;0.00000;0.00000;;;;OK;17
2022.01.05 10:30:00;Moving sell-stop;sell;;;EURUSD;0.01;1.12933;1.12937;;;;;0.00000;0.00000;;;;OK;17
